"";"Municipios";"total";"65_mas";"porc_envejecido"
"1";"Total Nacional";47450795;9218381;19,4272424729659
"2";"44001 Ababuj";77;24;31,1688311688312
"3";"40001 Abades";857;220;25,6709451575263
"4";"10001 Abadía";336;93;27,6785714285714
"5";"27001 Abadín";2322;979;42,1619293712317
"6";"48001 Abadiño";7658;1553;20,2794463306346
"7";"31001 Abáigar";82;27;32,9268292682927
"8";"09001 Abajas";31;10;32,258064516129
"9";"26001 Ábalos";255;71;27,843137254902
"10";"20001 Abaltzisketa";318;52;16,3522012578616
"11";"19001 Abánades";53;25;47,1698113207547
"12";"30001 Abanilla";6097;1563;25,6355584713794
"13";"50001 Abanto";92;43;46,7391304347826
"14";"48002 Abanto y Ciérvana-Abanto Zierbena";9471;1768;18,6675113504382
"15";"30002 Abarán";13022;2289;17,5779450161266
"16";"34001 Abarca de Campos";45;16;35,5555555555556
"17";"31002 Abárzuza/Abartzuza";544;138;25,3676470588235
"18";"31003 Abaurregaina/Abaurrea Alta";127;57;44,8818897637795
"19";"31004 Abaurrepea/Abaurrea Baja";31;14;45,1612903225806
"20";"15001 Abegondo";5398;1656;30,6780288995924
"21";"42001 Abejar";286;100;34,965034965035
"22";"44002 Abejuela";50;18;36
"23";"25001 Abella de la Conca";183;44;24,0437158469945
"24";"02001 Abengibre";761;234;30,7490144546649
"25";"13001 Abenójar";1351;389;28,7934863064397
"26";"31005 Aberin";340;80;23,5294117647059
"27";"10002 Abertura";404;122;30,1980198019802
"28";"49002 Abezames";59;28;47,4576271186441
"29";"16001 Abia de la Obispalía";61;26;42,6229508196721
"30";"34003 Abia de las Torres";170;42;24,7058823529412
"31";"22001 Abiego";258;76;29,4573643410853
"32";"22002 Abizanda";139;36;25,8992805755396
"33";"04001 Abla";1248;360;28,8461538461538
"34";"19002 Ablanque";55;28;50,9090909090909
"35";"31006 Ablitas";2484;545;21,9404186795491
"36";"08001 Abrera";12538;1937;15,4490349338012
"37";"04002 Abrucena";1183;331;27,9797125950972
"38";"37001 Abusejo";175;81;46,2857142857143
"39";"28001 Acebeda, La";68;31;45,5882352941176
"40";"24001 Acebedo";184;67;36,4130434782609
"41";"10003 Acebo";557;208;37,342908438061
"42";"16002 Acebrón, El";231;77;33,3333333333333
"43";"06001 Acedera";826;238;28,8135593220339
"44";"10004 Acehúche";802;201;25,0623441396509
